Mês;SE/CO;S;NE;N;SE/CO_ENA;S_ENA;NE_ENA;N_ENA
mai/03;7.3;7.3;6.34;6.23;24330;2744;4054;7550
jun/03;11.22;11.22;10.53;10.43;20893;5530;2914;3231
jul/03;13.13;13.92;9.87;13.1;17978;5153;2622;1787
ago/03;16.95;18.56;13.37;16.89;14322;2320;2220;1264
set/03;18.3;20.52;15.44;18.3;13775;1997;2033;979
out/03;25.82;26.3;19.88;25.73;14434;3893;1519;998
nov/03;28.03;29.85;24.7;27.91;19715;5374;2463;1948
dez/03;20.18;20.18;49.41;19.93;31096;11929;4618;2974
jan/04;23.68;23.68;294.09;21.48;41863;6762;13523;6808
fev/04;18.59;18.59;18.59;18.59;63064;3299;19415;18977
mar/04;18.59;18.59;18.59;18.59;55628;2423;20133;20336
abr/04;18.59;18.59;18.59;18.59;42588;2683;15870;18463
mai/04;18.59;18.59;18.59;18.59;34316;6385;8724;9972
jun/04;18.59;18.59;18.59;18.59;31056;6369;4474;3870
jul/04;18.59;18.59;18.59;18.59;25741;8869;3872;2261
ago/04;18.59;18.59;18.59;18.59;17922;3329;3018;1596
set/04;18.59;18.59;18.59;18.59;14053;5227;2707;1277
out/04;18.75;18.75;18.59;18.75;20409;10081;2704;1331
nov/04;18.59;18.59;18.59;18.59;24336;9841;3126;1956
dez/04;18.59;18.59;18.59;18.59;36942;4367;5344;3237
jan/05;18.33;18.33;18.33;18.33;62047;3985;11855;5489
fev/05;18.33;18.99;18.33;18.33;53782;2143;14971;10828
mar/05;18.33;26.78;18.33;18.33;50450;1781;14587;15584
abr/05;24.88;83.97;18.33;18.87;33768;4133;12430;13189
mai/05;43.96;79.35;18.33;20.28;28430;9577;6712;9160
jun/05;26.45;24.07;18.33;25.42;25997;12315;4433;3582
jul/05;31.74;31.56;18.33;31.74;19792;6845;3575;1953
ago/05;34.51;34.51;18.5;34.51;15768;5412;2978;1232
set/05;31.94;29.42;18.4;31.94;18673;18924;2909;997
out/05;43.12;18.83;18.86;43.12;22232;21746;2741;1066
nov/05;35.73;24.17;19.79;35.73;26771;9470;4068;1463
dez/05;19.2;19.19;18.4;19.2;52098;3191;13048;4932
jan/06;28.64;28.78;19.14;19.14;43270;3270;12969;8715
fev/06;58.02;63.63;37.62;29.2;45268;3070;6988;8860
mar/06;28.56;42.67;36.1;18.94;53947;3036;10624;11190
abr/06;20.87;21.06;16.92;16.92;46587;2446;13384;17563
mai/06;51.91;52.51;19.79;16.97;27366;1205;7086;14121
jun/06;67.89;70.01;23.44;44.84;22051;1735;3952;5095
jul/06;90.9;91.44;30.61;90.9;19488;2325;3254;2375
ago/06;104.98;105.19;51.94;104.98;16693;3727;3039;1484
set/06;123.88;123.88;68.56;123.88;17773;4251;2917;1199
out/06;92.42;92.42;46.25;92.42;24900;4091;3944;1524
nov/06;80.82;80.82;24.4;80.82;27272;5252;8542;3070
dez/06;58.75;59.18;17.58;45.23;54261;5682;12093;3882
jan/07;22.62;26.28;17.59;17.59;91841;5624;16833;5169
fev/07;17.59;17.59;17.59;17.59;87694;5866;21393;12671
mar/07;17.59;17.59;17.59;17.59;49532;7835;20535;14439
abr/07;49.36;49.05;28.07;24.25;34183;7481;7788;11486
mai/07;59.96;23.48;53.37;53.37;28206;17012;4641;5897
jun/07;97.15;59.42;97.19;97.35;23389;6741;3867;2608
jul/07;122.59;122.19;118.94;122.87;22798;9612;3040;1555
ago/07;39.27;36.13;45.81;44.36;18414;5241;2977;1118
set/07;149.53;149.8;149.11;149.53;12863;6579;2229;880
out/07;198.13;198.13;197.45;198.13;12984;8011;1803;890
nov/07;185.11;185.11;185.11;185.11;22916;11892;1901;1123
dez/07;204.93;204.93;204.93;204.93;28831;6594;4728;2316
jan/08;502.45;502.45;497.61;502.45;36669;6313;5821;3830
fev/08;200.42;200.65;214.37;200.43;61322;4200;11438;8372
mar/08;124.7;127.41;123.24;117.67;61437;3587;13473;12328
abr/08;68.8;72.12;71.92;50.97;50513;4908;14220;14491
mai/08;34.18;34.19;34.42;27.61;35136;8429;5904;9977
jun/08;76.2;76.2;75.34;75.34;27465;8323;3387;3597
jul/08;108.42;108.42;108.42;108.42;20667;5743;2790;1859
ago/08;102.79;101.21;102.79;102.79;22156;7845;2513;1209
set/08;109.93;109.4;109.91;109.93;15752;6807;2005;911
out/08;92.43;92.17;92.43;92.43;20244;18364;2193;908
nov/08;106.14;93.77;106.14;106.14;25105;16521;2703;1391
dez/08;96.97;96.93;96.97;96.97;36583;4208;7217;4523
jan/09;83.64;83.66;77.77;77.82;52756;4441;15968;6392
fev/09;52.08;66.15;27.41;27.41;63966;3923;14560;9102
mar/09;90.87;91.28;84.25;24.96;45859;3654;10547;11260
abr/09;46.46;48.73;27.79;16.31;47041;1510;13048;13686
mai/09;39.00;39.1;30.17;16.31;30316;2191;7837;16561
jun/09;40.84;40.84;30.00;23.14;24848;3289;4595;7130
jul/09;30.43;30.43;25.55;25.55;27289;10404;3703;2959
ago/09;16.31;16.31;16.31;16.31;23736;15538;2927;1680
set/09;16.31;16.31;16.31;16.31;31049;25502;3005;1399
out/09;16.31;16.31;16.31;16.31;35866;21804;4096;1729
nov/09;16.31;16.31;16.31;16.31;36398;12508;7846;3348
dez/09;16.31;16.31;16.31;16.31;60621;10475;7809;5326
jan/10;12.91;12.91;12.91;12.91;69508;14463;10196;9912
fev/10;13.82;13.82;15.91;13.82;58305;13498;5630;10279
mar/10;27.24;27.24;30.38;27.24;52647;8845;7842;10453
abr/10;21.47;21.47;24.62;21.46;44607;17862;8444;13372
mai/10;32.34;30.1;33.99;32.35;28648;21529;3779;5749
jun/10;67.7;67.7;69.4;69.4;22866;9753;3096;2658
jul/10;89.61;89.61;97.56;97.56;20100;10344;2513;1562
ago/10;116.66;116.66;123.56;123.55;15678;8303;2102;1111
set/10;132.1;131.78;189.37;189.37;13658;6001;1955;886
out/10;137.78;137.78;232.48;232.48;21648;6051;2389;1056
